step,reward,critic_loss,actor_loss,q_mean,logp_mean,sigma_mean,tau_mean,act_sat_frac,n_abort,abort_force_mean,success
30400,-0.4303,0.1545,-55.3247,54.5242,-4.0099,0.1996,0.1016,0.0046,0,0.0000,0.0000
30600,-0.0356,0.3164,-55.5161,54.7099,-4.0373,0.1996,0.1013,0.0020,0,0.0000,0.0000
30800,-0.0361,0.3256,-55.6442,54.8422,-4.0205,0.1995,0.1021,0.0020,0,0.0000,0.0000
31000,-0.1360,0.1393,-55.8557,55.0508,-4.0414,0.1992,0.1033,0.0020,0,0.0000,0.0000
31200,-0.0426,0.3230,-56.0198,55.2160,-4.0251,0.1996,0.1012,0.0046,0,0.0000,0.0000
31400,-0.0395,0.4201,-56.1661,55.3573,-4.0540,0.1995,0.1019,0.0020,0,0.0000,0.0000
31600,-0.0395,0.5978,-56.2735,55.4705,-4.0287,0.1993,0.1028,0.0026,0,0.0000,0.0000
31800,-0.0403,0.5222,-56.4490,55.6450,-4.0320,0.1993,0.1027,0.0007,0,0.0000,0.0000
32000,-0.0409,0.8416,-56.6581,55.8575,-4.0126,0.1995,0.1019,0.0026,0,0.0000,0.0000
32200,-0.0334,0.4684,-56.8088,56.0049,-4.0300,0.1994,0.1020,0.0007,0,0.0000,0.0000
32400,-0.0365,0.6389,-57.0123,56.2087,-4.0358,0.1991,0.1035,0.0046,0,0.0000,0.0000
32600,-0.0417,0.3654,-57.1480,56.3465,-4.0236,0.1990,0.1035,0.0026,0,0.0000,0.0000
32800,-0.0342,0.2590,-57.3586,56.5593,-4.0078,0.1993,0.1025,0.0039,0,0.0000,0.0000
33000,-0.0365,0.6075,-57.4055,56.6051,-4.0129,0.1994,0.1020,0.0033,0,0.0000,0.0000
33200,-0.0375,0.2114,-57.7016,56.9023,-4.0100,0.1993,0.1025,0.0013,0,0.0000,0.0000
33400,-0.0384,0.4822,-57.8001,56.9947,-4.0365,0.1994,0.1021,0.0020,0,0.0000,0.0000
33600,-0.0360,0.6022,-57.9559,57.1514,-4.0295,0.1996,0.1012,0.0026,0,0.0000,0.0000
33800,-0.0372,0.3920,-58.1311,57.3290,-4.0249,0.1993,0.1029,0.0007,0,0.0000,0.0000
34000,-0.0359,0.2724,-58.2912,57.4843,-4.0457,0.1994,0.1021,0.0020,0,0.0000,0.0000
34200,-0.0357,0.4066,-58.4133,57.6077,-4.0356,0.1995,0.1019,0.0026,0,0.0000,0.0000
34400,-0.0356,0.5589,-58.4861,57.6884,-4.0021,0.1992,0.1033,0.0013,0,0.0000,0.0000
34600,-0.0411,0.1382,-58.6963,57.8906,-4.0365,0.1996,0.1014,0.0046,0,0.0000,0.0000
34800,-0.0409,0.1828,-58.7945,57.9923,-4.0162,0.1997,0.1013,0.0065,0,0.0000,0.0000
35000,-0.0356,0.1543,-58.9890,58.1876,-4.0178,0.1994,0.1026,0.0000,0,0.0000,0.0000
35200,-0.0348,0.7759,-59.0838,58.2790,-4.0310,0.1997,0.1013,0.0039,0,0.0000,0.0000
35400,-0.0355,0.6047,-59.2022,58.3960,-4.0377,0.1997,0.1013,0.0059,0,0.0000,0.0000
35600,-0.0365,0.2765,-59.3968,58.5905,-4.0352,0.1998,0.1007,0.0020,0,0.0000,0.0000
35800,-0.0348,0.4283,-59.5142,58.7133,-4.0140,0.1995,0.1020,0.0033,0,0.0000,0.0000
36000,-0.0358,0.3008,-59.6601,58.8601,-4.0113,0.1992,0.1025,0.0013,0,0.0000,0.0000
36200,-0.0353,0.2029,-59.7799,58.9728,-4.0504,0.1992,0.1028,0.0026,0,0.0000,0.0000
36400,-0.0361,0.4898,-59.8164,59.0077,-4.0512,0.1995,0.1015,0.0033,0,0.0000,0.0000
36600,-0.0354,0.3586,-60.1040,59.2988,-4.0337,0.1996,0.1018,0.0033,0,0.0000,0.0000
36800,-0.0356,0.4051,-60.1477,59.3433,-4.0288,0.1997,0.1013,0.0013,0,0.0000,0.0000
37000,-0.0361,0.3960,-60.3115,59.5057,-4.0343,0.1997,0.1009,0.0026,0,0.0000,0.0000
37200,-0.0404,0.0558,-60.4750,59.6755,-4.0079,0.1994,0.1021,0.0033,0,0.0000,0.0000
37400,-0.5993,0.7553,-60.6129,59.8090,-4.0340,0.1992,0.1027,0.0033,0,0.0000,0.0000
37600,-0.0350,0.1673,-60.6712,59.8682,-4.0293,0.1992,0.1031,0.0026,0,0.0000,0.0000
37800,-0.0345,0.4052,-60.8069,60.0036,-4.0369,0.1989,0.1044,0.0013,0,0.0000,0.0000
38000,-0.4111,0.3166,-61.0487,60.2429,-4.0391,0.1995,0.1021,0.0033,0,0.0000,0.0000
38200,-0.0355,0.4077,-61.0769,60.2707,-4.0360,0.1997,0.1010,0.0007,0,0.0000,0.0000
38400,-0.0383,0.1843,-61.1888,60.3824,-4.0427,0.1994,0.1024,0.0007,0,0.0000,0.0000
38600,-0.0812,0.2089,-61.2780,60.4723,-4.0383,0.1994,0.1021,0.0020,0,0.0000,0.0000
38800,-0.0421,0.4047,-61.4565,60.6560,-4.0142,0.1994,0.1024,0.0007,0,0.0000,0.0000
39000,-0.0352,0.1740,-61.4845,60.6798,-4.0266,0.1998,0.1007,0.0000,0,0.0000,0.0000
39200,-0.0326,0.2967,-61.6977,60.8934,-4.0259,0.1997,0.1010,0.0033,0,0.0000,0.0000
39400,-0.0347,0.4391,-61.7722,60.9705,-4.0261,0.1991,0.1035,0.0033,0,0.0000,0.0000
