time_s,index_joint0_target_rad,middle_joint0_target_rad,pinky_joint0_target_rad,ring_joint0_target_rad,thumb_joint0_target_rad,index_joint1_target_rad,middle_joint1_target_rad,pinky_joint1_target_rad,ring_joint1_target_rad,thumb_joint1_target_rad,index_joint2_target_rad,thumb_joint2_target_rad
7.20000,0.064957,1.186598,1.784277,0.967329,1.597912,1.544510,0.988777,1.095429,1.351935,0.616679,0.382916,1.107016
7.25000,-0.014683,0.673688,1.886155,1.000602,1.728060,1.420815,0.807218,1.453777,0.967828,0.747637,0.318890,1.207182
7.30000,0.000004,0.938793,1.920000,1.156893,1.757162,1.283984,0.856681,1.435348,1.374381,0.450363,0.340232,1.333832
7.35000,0.023724,0.673445,1.912169,1.119216,1.779934,1.476046,0.633413,1.597450,1.130412,0.383527,0.451975,1.460722
7.40000,0.041687,1.141244,1.920000,1.070417,1.830000,1.559209,0.746982,1.522659,1.139455,0.617141,0.174752,1.536135
7.45000,0.031479,0.960315,1.905440,1.144105,1.830000,1.283820,0.421046,1.787331,1.408352,0.875295,0.020851,1.694151
7.50000,-0.005378,1.115990,1.920000,1.248216,1.830000,0.892567,0.455591,1.883889,1.105598,1.010635,0.285190,1.806813
7.55000,-0.003490,0.859427,1.671671,1.051514,1.830000,0.831212,0.245846,1.920000,0.983452,1.019221,0.508450,1.777262
7.60000,0.047069,1.218291,1.389655,0.697185,1.830000,0.878683,0.087772,1.920000,1.388654,1.067107,0.525009,1.741631
7.65000,0.077841,1.219499,1.000708,0.515871,1.830000,0.820599,0.092221,1.907126,1.177008,1.345800,0.813463,1.811404
7.70000,0.102848,1.201024,0.916499,0.183259,1.830000,0.785342,0.033373,1.850572,1.379448,1.445555,0.824071,1.752602
7.75000,0.149943,1.058927,0.945103,0.226627,1.813502,0.947507,0.061880,1.710850,1.209820,1.570000,0.863931,1.442045
7.80000,0.169462,1.356366,1.053623,0.497604,1.798486,0.850195,0.019077,1.855550,1.280423,1.556453,0.594315,1.481378
7.85000,0.170706,1.193050,1.210831,0.744704,1.829247,0.694007,0.002909,1.888883,1.230767,1.563396,0.584230,1.463009
7.90000,0.173428,1.096497,1.037680,0.752417,1.827189,0.817093,0.000000,1.859766,0.877666,1.545990,0.864280,1.514607
7.95000,0.175000,1.119856,1.146846,0.561764,1.830000,0.743332,0.000000,1.901798,0.768911,1.541372,0.799404,1.514561
8.00000,0.171232,1.079961,1.019986,0.717895,1.830000,0.573548,0.000000,1.879972,0.746142,1.549902,0.833940,1.662438
8.05000,0.174360,1.148542,0.906362,0.714782,1.830000,0.770512,0.029119,1.916393,0.858519,1.553086,0.855991,1.669085
8.10000,0.175000,1.207264,1.023880,0.739745,1.820827,0.742700,0.000000,1.918789,0.783160,1.570000,0.634935,1.411791
8.15000,0.175000,0.991707,1.493120,0.523629,1.830000,0.765346,0.157344,1.895346,0.692918,1.570000,0.457653,1.058623
8.20000,0.174472,0.800230,1.348288,0.339553,1.830000,0.736022,0.529751,1.904845,0.949284,1.556328,0.463029,1.098658
8.25000,0.168276,0.483108,0.965484,0.100639,1.830000,0.789846,1.029789,1.892391,0.946334,1.456739,0.411335,0.668645
8.30000,0.168445,0.153068,1.056018,0.000000,1.795792,0.687018,1.615672,1.915191,0.524086,0.472416,0.289966,0.109507
8.35000,0.172912,0.111067,1.219956,0.000000,0.598681,0.490260,1.789070,1.920000,0.166241,-0.562515,0.745360,-0.068739
8.40000,0.170240,0.010848,1.668480,0.001010,0.217498,1.279981,1.864677,1.897805,0.325364,-0.845906,0.680635,0.876734
8.45000,0.167436,0.466198,1.780941,0.001912,0.106473,1.552198,1.685761,1.843998,0.897763,-0.110985,0.226790,0.674898
8.50000,0.173773,1.093433,1.865438,0.104098,0.047581,1.822999,1.286476,1.136449,0.890961,0.862125,0.061534,0.277246
8.55000,0.170749,1.207255,1.649180,0.892333,0.436187,1.916608,1.209986,0.797707,1.390920,1.378515,0.010485,0.633542
8.60000,0.131235,1.185861,1.217082,1.188408,1.039956,1.249882,1.248399,0.858266,1.650461,1.542968,0.000000,0.994823
8.65000,0.027679,0.909677,1.162908,1.157721,1.463052,0.425780,1.566361,0.923803,1.805146,1.564988,0.009841,1.241501
8.70000,0.057129,0.424866,1.047025,0.838879,1.541170,0.214245,1.334834,0.949383,1.874258,0.883798,0.565534,1.467728
8.75000,0.130918,0.163273,1.555564,0.213112,1.267618,0.421049,1.298335,0.851571,1.605561,0.491292,0.526847,1.340613
